Time Size Power Thread
32.20 2048 2 12
32.50 2048 2 14
32.48 2048 2 16
90.59 2048 3 1
63.59 2048 3 2
36.47 2048 3 4
32.50 2048 3 6
33.14 2048 3 8
33.63 2048 3 10
33.24 2048 3 12
33.06 2048 3 14
32.55 2048 3 16
122.80 2048 4 1
67.22 2048 4 2
33.55 2048 4 4
29.70 2048 4 6
35.18 2048 4 8
35.36 2048 4 10
35.22 2048 4 12
35.08 2048 4 14
34.99 2048 4 16
155.23 2048 5 1
107.62 2048 5 2
62.67 2048 5 4
32.64 2048 5 6
33.90 2048 5 8
29.44 2048 5 10
30.47 2048 5 12
34.14 2048 5 14
33.88 2048 5 16
185.99 2048 6 1
104.70 2048 6 2
64.84 2048 6 4
35.49 2048 6 6
36.25 2048 6 8
32.98 2048 6 10
32.85 2048 6 12
32.02 2048 6 14
36.52 2048 6 16
216.52 2048 7 1
128.91 2048 7 2
67.23 2048 7 4
62.71 2048 7 6
32.31 2048 7 8
34.30 2048 7 10
32.67 2048 7 12
33.68 2048 7 14
38.90 2048 7 16
247.27 2048 8 1
138.66 2048 8 2
68.33 2048 8 4
63.19 2048 8 6
37.97 2048 8 8
38.91 2048 8 10
35.63 2048 8 12
32.49 2048 8 14
33.68 2048 8 16
274.59 2048 9 1
160.03 2048 9 2
98.13 2048 9 4
67.99 2048 9 6
66.20 2048 9 8
34.70 2048 9 10
34.63 2048 9 12
36.65 2048 9 14
34.73 2048 9 16
312.84 2048 10 1
161.19 2048 10 2
101.94 2048 10 4
62.00 2048 10 6
72.35 2048 10 8
46.17 2048 10 10
39.82 2048 10 12
46.44 2048 10 14
45.57 2048 10 16
338.07 2048 11 1
194.73 2048 11 2
103.58 2048 11 4
64.61 2048 11 6
73.41 2048 11 8
67.35 2048 11 10
45.35 2048 11 12
47.09 2048 11 14
46.99 2048 11 16
373.26 2048 12 1
200.15 2048 12 2
107.28 2048 12 4
67.54 2048 12 6
69.52 2048 12 8
64.14 2048 12 10
46.04 2048 12 12
46.91 2048 12 14
47.85 2048 12 16
381.58 2048 13 1
221.70 2048 13 2
126.17 2048 13 4
92.52 2048 13 6
59.16 2048 13 8
73.76 2048 13 10
64.84 2048 13 12
51.58 2048 13 14
53.37 2048 13 16
